year,title,artist,lyrics,rank
2015,Hey Mama,"David Guetta Featuring Nicki Minaj, Bebe Rexha & Afrojack","[Refrain: Alan Lomax, Alan Lomax & Bebe Rexha, Nicki Minaj]
Be my woman, girl, I'll be your man
Be my woman, girl, I'll be your man (Yo)

[Verse 1: Nicki Minaj]
Yes, I'll be your woman, yes, I'll be your baby
Yes, I'll be whatever that you tell me when you're ready
Ye-Ye-Yes, I'll be your girl, forever your lady
You ain't ever gotta worry, I'm down for you, baby (Uh)

[Pre-Chorus: Nicki Minaj]
Best believe that when you need that
I'll provide that, you will always have it (Ha-Have it)
I'll be on deck, keep it in check
When you need that, I'ma let you have it

[Chorus: Bebe Rexha]
Beatin' my drum like ""Dum, di-di, day""
I like the dirty rhythm you play
I wanna hear you callin' my name
Like ""Hey, mama-ma-ma, hey, mama-ma""
Bangin' the drum like ""Dum, di-di, day"" (Hey)
I know you want it in the worst way
I wanna hear you callin' my name
Like ""Hey, mama-ma-ma, hey, mama-ma"" (Hey)
See David Guetta LiveGet tickets as low as $93You might also like[Refrain: Alan Lomax, Alan Lomax & Bebe Rexha]
Be my woman, girl, I'll be your man
Be my woman, girl, I'll be your man

[Verse 2: Nicki Minaj]
Yes, I do the cookin', yes, I do the cleanin'
Plus, I keep the na-na real sweet for your eatin'
Yes, you be the boss, and yes, I be respectin'
Whatever that you tell me, 'cause it's game you be spittin', oh

[Pre-Chorus: Nicki Minaj]
Best believe that (Oh) when you need that (Oh)
I'll provide that, you will always have it (Ha-Have it)
I'll be on deck, keep it in check
When you need that, I-I'ma let you have it

[Chorus: Bebe Rexha]
Beatin' my drum like ""Dum, di-di, day""
I like the dirty rhythm you play
I wanna hear you callin' my name
Like ""Hey, mama-ma-ma, hey, mama-ma""
Bangin' the drum like ""Dum, di-di, day"" (Hey)
I know you want it in the worst way
I wanna hear you callin' my name
Like ""Hey, mama-ma-ma, hey, mama-ma"" (Hey)
[Refrain: Alan Lomax, Alan Lomax & Bebe Rexha, Nicki Minaj]
Be my woman, girl, I'll be your man
Be my woman, girl, I'll be your man (Yeah, yeah)

[Verse 3: Nicki Minaj]
Whole crew got the juice, yo' **** game the truth
My screams is the proof, them other dudes get the deuce
When I speed in the coupe, leavin' this interview
It-It-It ain't nothin' new, I been **** with you
None of them **** ain't takin' you
Just tell them to make a ""U,"" huh
That how it be, I come first like debuts, huh
So, baby, when you need that
Give me the word, I'm no good, I'll be bad for my baby

[Bridge: Nicki Minaj]
(So I) Make sure that he's gettin' his share
(So I) Make sure that his baby take care
(So I) Make sure I'm on my toes, on my knees
Keep him pleased, rub him down, be a lady and a freak, oh

[Chorus: Bebe Rexha]
Beatin' my drum like ""Dum, di-di, day""
I like the dirty rhythm you play
I wanna hear you callin' my name
Like ""Hey, mama-ma-ma, hey, mama-ma""
Bangin' the drum like ""Dum, di-di, day"" (Hey)
I know you want it in the worst way
I wanna hear you callin' my name
Like ""Hey, mama-ma-ma, hey, mama-ma"" (Hey)
[Refrain: Alan Lomax, Alan Lomax & Bebe Rexha]
Be my woman, girl, I'll be your man
Be my woman, girl, I'll be your man169Embed",8
2015,Sugar,Maroon 5,"[Verse 1]
I'm hurtin', baby, I'm broken down
I need your lovin', lovin', I need it now
When I'm without you, I'm somethin' weak
You got me beggin', beggin', I'm on my knees

[Pre-Chorus]
I don't wanna be needin' your love
I just wanna be deep in your love
And it's killin' me when you're away
Ooh, baby
'Cause I really don't care where you are
I just wanna be there where you are
And I gotta get one little taste

[Chorus]
Your sugar, yes, please
Won't you come and put it down on me?
I'm right here, 'cause I need
Little love, a little sympathy
Yeah, you show me good lovin', make it alright
Need a little sweetness in my life
Your sugar, yes, please
Won't you come and put it down on me?

[Verse 2]
Babe, my broken pieces, you pick them up
Don't leave me hangin', hangin', come give me some
When I'm without you, I'm so insecure
You are the one thing, one thing I'm livin' for
See Maroon 5 LiveGet tickets as low as $90You might also like[Pre-Chorus]
I don't wanna be needin' your love
I just wanna be deep in your love
And it's killin' me when you're away
Ooh, baby
'Cause I really don't care where you are
I just wanna be there where you are
And I gotta get one little taste

[Chorus]
Sugar, yes, please
Won't you come and put it down on me?
I'm right here, 'cause I need
Little love, a little sympathy
Yeah, you show me good lovin', make it alright
Need a little sweetness in my life
Your sugar, yes, please (Your sugar, yes, please)
Won't you come and put it down on me?

[Bridge]
Yeah
I want that red velvet, I want that sugar sweet
Don't let nobody touch it unless that somebody's me
I gotta be a man, there ain't no other way
'Cause, girl, you're hotter than a Southern California day
And I wanna play no games, you don't gotta be afraid
Don't give me all that shy shit
No makeup on, that's my sugar
[Chorus]
Sugar, yes, please (Please)
Won't you come and put it down on me? (Down on me)
I'm right here, 'cause I need (I'm right here, 'cause I need)
Little love, a little sympathy
Yeah, you show me good lovin', make it alright
Need a little sweetness in my life (Yeah)
Your sugar, yes, please (Your sugar, yes, please)
Won't you come and put it down on me? (Down on me)
Sugar, yes, please
Won't you come and put it down on me? (Down on me)
I'm right here, 'cause I need (I'm right here, 'cause I need)
Little love, a little sympathy
Yeah, you show me good lovin', make it alright
Need a little sweetness in my life
Your sugar, yes, please (Your sugar, yes, please)
Won't you come and put it down on me?
(Down on me, down on me, ooh)271Embed",9
2015,Nasty Freestyle,T-Wayne,"[Produced by 30 Roc]

[Intro]
Yah, say Roro, you know what it is, right?
Who Is Rickey Wayne?: The Mixtape
Ya feel me? Yah, ahem

[Verse]
First, let me hop out the muh fuckin' Porsche
I don't want her if that ass don't sit like a horse
I be ballin' on these niggas, got me feelin' like sports
Dash got so much wood I could build me a fort
Ain't too many things I ain't done yet
I'm the king of this shit, crown by the toilet
I'm just barely gettin' started, you already upset
Got a tiger as a pet, I just took him to the vet
Homie, I be makin' hits, I'm the rap Derek Jeter
Let your bitch ride on me like she was on the feeder
If the pussy ain't good then I probably won't feed her
Lil homie, you can keep her cause I really don't need her
I ain't worried 'bout features, homeboy, you's a peon
Toilet seat ass nigga, man, I swear you gettin' peed on
Man, my jewelry so cold, I walk around with the heat on
My alarm clock set, just in case they wanna sleep on, ya dig?
I'm a full-time player, hoppin' out in alligator
Sippin' lean and Now and Later, homie, I'll annihilate ya
If you think you wanna battle, you gon' have to pay some paper
I just hit her and I quit her, I would never ever date her
It's a shame how I'm barely gettin' love in the city
Travel to another town, you can bet they fuckin' with me
I be killin' this shit, pray to God they forgive me
They said, ""when you blow up, don't forget me"", man
I been on fire ever since they made the lighter
My boys will pull up on ya, homie, I ain't talkin' diapers
Walk into your function, on point, I'm like a sniper
My girl bad like Dej Loaf so don't try her
Flexin' all you want but homeboy, you ain't ready
Ten times sharper than Michael Myers' machete
Been about the money, I ain't worried 'bout the fame
'Bout to have everybody sayin', ""Who Is Rickey Wayne?""
That me...You might also like1.3KEmbed",10
2015,Love Me Like You Do,Ellie Goulding,"[Produced by Max Martin & Ali Payami]

[Verse 1]
You're the light, you're the night
You're the colour of my blood
You're the cure, you're the pain
You're the only thing I wanna touch
Never knew that it could mean so much, so much

[Verse 2]
You're the fear, I don't care
'Cause I've never been so high
Follow me through the dark
Let me take you past the satellites
You can see the world you brought to life, to life

[Chorus]
So love me like you do, l-l-love me like you do
Love me like you do, l-l-love me like you do
Touch me like you do, t-t-touch me like you do
What are you waiting for?

[Verse 3]
Fading in, fading out
On the edge of paradise
Every inch of your skin
Is a holy grail I've gotta find
Only you can set my heart on fire, on fire, yeah
You might also like[Pre-Chorus]
I'll let you set the pace
'Cause I'm not thinkin' straight
My head's spinnin' around, I can't see clear no more
What are you waiting for?

[Chorus]
Love me like you do, l-l-love me like you do (Like you do)
Love me like you do, l-l-love me like you do
Touch me like you do, t-t-touch me like you do
What are you waiting for?
Love me like you do, l-l-love me like you do (Like you do)
Love me like you do, l-l-love me like you do (Yeah)
Touch me like you do, t-t-touch me like you do
What are you waiting for?

[Post-Chorus]
(Ah)

[Pre-Chorus]
I'll let you set the pace
'Cause I'm not thinkin' straight
My head's spinnin' around, I can't see clear no more
What are you waiting for?

[Chorus]
Love me like you do, l-l-love me like you do (Like you do)
Love me like you do, l-l-love me like you do (Yeah, yeah)
Touch me like you do, t-t-touch me like you do
What are you waiting for?
Love me like you do, l-l-love me like you do (Like you do)
Love me like you do, l-l-love me like you do (Woah)
Touch me like you do, t-t-touch me like you do (Ah)
What are you waiting for?
[Outro]
(Ah)
(Ah, ah)302Embed",11
2015,"Honey, I'm Good.",Andy Grammer,"[Intro]
Nah, nah, honey, I'm good
I could have another but I probably should not
I got somebody at home, home, home, home
[Verse 1]
It's been a long night here and a long night there
And these long, long legs are damn near everywhere
Hold up now
You look good, I will not lie
But if you ask where I'm staying tonight, I gotta be like
[Pre-Chorus]
Oh baby, nah, baby
You got me all wrong, baby
My baby's already got all of my love

[Chorus]
So nah, nah, honey, I'm good
I could have another but I probably should not
I got somebody at home and if I stay I might not leave alone
Nah, honey, I'm good
I could have another but I probably should not
I gotta bid you adieu, to another I will stay true (True)
I will stay true (True), I will stay true (True)
See Andy Grammer LiveGet tickets as low as $47You might also like[Verse 2]
Now, better men than me have failed
Drinking from that unholy grail
Now check it out
I got her and she got me and you got that ass
But I kindly gotta be like
[Pre-Chorus]
Oh baby, nah, baby
You got me all wrong, baby
My baby's already got all of my love

[Chorus]
So nah, nah, honey, I'm good
I could have another but I probably should not
I got somebody at home and if I stay I might not leave alone
Nah, honey, I'm good
I could have another but I probably should not
I gotta bid you adieu, to another I will stay true (True)
I will stay true (True), I will stay true (True)

[Bridge]
Oh, I'm sure you, sure you will make somebody's night
But oh, I assure you, assure you it sure as hell's not mine
[Chorus]
Oh no, honey, I'm good
I could have another but I probably should not
I got somebody at home, and if I stay, I might not leave alone
Nah, honey, I'm good
I could have another but I probably should not
I gotta bid you adieu, to another I will stay true
Nah, nah, honey, I'm good
I could have another but I probably should not
I got somebody at home, and if I stay, I might not leave alone
Nah, honey, I'm good
I could have another but I probably should not
I gotta bid you adieu, to another I will stay true (True)
I will stay true (True), I will stay true (True), I will stay true (True)
[Outro]
I will stay true (True)
Sing it now
Oh, whoa, oh...
I will stay true57Embed",12
2015,Talking Body,Tove Lo,"[Intro]
Hey
Hey

[Verse 1]
Bed, stay in bed
The feeling of your skin locked in my head
Smoke, smoke me broke
I don't care, I'm down for what you want

[Pre-Chorus]
Day drunk into the night, wanna keep you here
'Cause you dry my tears, yeah
Summer lovin' and fights, how it is for us
And it's all because

[Chorus]
Now if we're talking body (Hey)
You got a perfect one, so put it on me (Hey)
Swear it won't take you long
If you love me right, we fuck for life
On and on and on
Now if we're talking body (Hey)
You got a perfect one, so put it on me (Hey)
Swear it won't take you long
If you love me right, we fuck for life
On and on and on
You might also like[Verse 2]
Love, give me love
Anything you want, I'll give it up
Lips, lips I kiss
Bite me while I taste your fingertips

[Pre-Chorus]
Day drunk into the night, wanna keep you here
'Cause you dry my tears, yeah
Summer lovin' and fights, how it is for us
And it's all because

[Chorus]
Now if we're talking body (Hey)
You got a perfect one, so put it on me (Hey)
Swear it won't take you long
If you love me right, we fuck for life
On and on and on
Oh, now if we're talking body (Hey)
You got a perfect one, so put it on me (Hey)
Swear it won't take you long
If you love me right, we fuck for life
On and on and on (On and on and on)

[Bridge]
(Hey) Oh-oh (Hey)
Bodies, our baby-making bodies, we just use for fun
Bodies, let's use 'em up 'til every little piece is gone
(Let's go) On and on and on
(Let's go) On and on
(Let's go)
[Chorus]
Oh, now if we're talking body (Hey)
You got a perfect one, so put it on me (Hey)
Swear it won't take you long
If you love me right, we fuck for life
On and on and on
Ooh, now if we're talking body (Hey)
You got a perfect one, so put it on me (Hey)
Swear it won't take you long
If you love me right, we fuck for life
On and on and on (On and on and on)

[Post-Chorus]
Now if we're talking body (Hey)
Put it on me (Hey)
If you love me right, we fuck for life
On and on and on

[Outro]
Now if we're talking body (Hey)
You got a perfect one, so put it on me (Hey)
Swear it won't take you long
If you love me right, we fuck for life
On and on and on (Hey)206Embed",13
2015,Dear Future Husband,Meghan Trainor,"[Chorus]
Dear future husband
Here's a few things you'll need to know if
You wanna be my one and only
All my life

[Verse 1]
Take me on a date, I deserve it, babe
And don't forget the flowers every anniversary
'Cause if you'll treat me right, I'll be the perfect wife
Buying groceries, buy-buying what you need
You got the 9 to 5, but baby, so do I
So don't be thinkin' I'll be home and baking apple pies
I never learned to cook, but I can write a hook
Sing along with me, sing, sing along with me (Hey)
[Pre-Chorus]
You've gotta know how to treat me like a lady
Even when I'm actin' crazy
Tell me everything's alright

[Chorus]
Dear future husband
Here's a few things you'll need to know if
You wanna be my one and only
All my life
Dear future husband
If you wanna get that special loving
Tell me I'm beautiful each and every night (Woo)
See Meghan Trainor LiveGet tickets as low as $15You might also like[Verse 2]
After every fight, just apologize
And maybe then I'll let you try and rock my body right
Even if I was wrong, you know I'm never wrong
Why disagree, why, why disagree
[Pre-Chorus]
You've gotta know how to treat me like a lady
Even when I'm actin' crazy
Tell me everything's alright (Alright)

[Chorus]
Dear future husband
Here's a few things you'll need to know if
You wanna be my one and only
All my life (Hey baby, hey)
Dear future husband
Make time for me, don't leave me lonely
And no, we'll never see your family more than mine

[Bridge]
I'll be sleeping on the left side of the bed (Hey)
Open doors for me and you might get some... kisses
Don't have a dirty mind, just be a classy guy
Buy me a ring, buy, buy me a ring, babe
[Pre-Chorus]
You've gotta know how to treat me like a lady
Even when I'm actin' crazy
Tell me everything's alright (Woo, hey)

[Chorus]
Dear future husband
Here's a few things you'll need to know if
You wanna be my one and only
All my life
Dear future husband
If you wanna get that special lovin'
Tell me I'm beautiful each and every night (That's right)
(Oh, whoa) Future husband, better love me right101Embed",14
2015,Post To Be,Omarion Featuring Chris Brown & Jhene Aiko,"[Intro: Omarion, Chris Brown, YG]
I'm Omarion
Breezy
And your chick, your chick
(Mustard on the beat, ho)
Yeah

[Chorus: Omarion, Chris Brown, Omarion & Chris Brown]
If your chick come close to me
She ain't goin' home when she 'posed to be (No)
I'm gettin' money like I'm 'posed to be
I'm gettin' money like I'm 'posed to be, ooh
All my niggas close to me
And all them other niggas where they 'posed to be, ooh
The hoes go for me
Have your chick send a pic, like, ""Pose for me""
(Ooh) That's how it 'posed to be (Ah, ah)
Yeah, yeah, that's how it 'posed to be (Ah, ah, ah, ah, ah)
(Ooh) Yeah, that's how it 'posed to be (Ah, ah)
Everything good like it's 'posed to be (Ah, ah, ah, ah)

[Verse 1: Omarion]
Pull up to the club and it go up (Go up)
Make your girl fall in love when I show up (Woop, woop)
It's not my fault she wanna know me (Hey)
She told me you was just a homie (Hahaha)
She came down like she knew me (Hey)
Gave it up like a groupie (True)
And that's facts, no printer (No printer)
Cold nigga turn the summer to the winter
She saved me in her phone as ""Bestie""
But I had her screaming, ""Oh""
Yo' girl wasn't supposed to text me (Nope)
You wanna know how I know what I know? (Hey)
You might also like[Chorus: Omarion, Chris Brown, Omarion & Chris Brown]
If your chick come close to me
She ain't goin' home when she 'posed to be (Aw, yeah, no)
I'm gettin' money like I'm 'posed to be (Yeah, yeah)
I'm gettin' money like I'm 'posed to be, ooh
All my niggas close to me
And all them other niggas where they 'posed to be, ooh
The hoes go for me
Have your chick send a pic, like, ""Pose for me""
(Ooh, ooh) That's how it 'posed to be (Ah, ah)
(Ooh) Yeah, yeah, that's how it 'posed to be (Ah, ah, ah, ah, ah)
(Ooh, ooh) Yeah, that's how it 'posed to be (Ah, ah)
(Ooh) Everything good like it's 'posed to be (Ah, ah, ah, ah)

[Verse 2: Chris Brown]
Got your girl in my section, finna go up (Go up)
A nigga smokin' loud, I'm 'bout to roll up (Roll up)
She ain't never got high like this with a guy like this
Once she pop it, tell her, ""Hol' up"" (Hol' up)
Better believe she gon' leave with a real nigga
I dick her down, can't put it down like I do (Like I do)
I get to bustin', no discussion, gotta deal with it
Team us, we ain't worried about you, oh
Murder she wrote, yeah, yeah
When I hit it, I'ma kill it, I'ma get it like (Get it)
Murder she wrote
You wanna know how I know what I know? (Oh)
[Verse 3: Jhené Aiko]
If your dude come close to me
He gon' want to ride off in a Ghost with me (I'll make him do it)
I might let your boy chauffeur me
But he gotta eat the booty like groceries
But he gotta get rid of these hoes from me
I might have that nigga sellin' his soul for me
Ooh, that's how it 'posed to be
If he wants me to expose the freak
Ooh, that's how it 'posed to be
Ooh, that's how it 'posed to be
Ooh, that's how it 'posed to be
Everything good like it 'posed to be, ooh

[Chorus: Omarion, Chris Brown, Jhené Aiko, Omarion & Jhené Aiko, *Omarion & Chris Brown*, **All**]
If your chick come close to me (If she come close to me, ooh)
She ain't going home when she 'posed to be (Oh, yeah, oh, yeah)
I'm gettin' money like I'm 'posed to be ('Posed to be, yeah)
**I'm gettin' money like I'm 'posed to be** (Gettin' money)
Ooh, *all my niggas close to me* (Yeah)
And all them other niggas where they 'posed to be (Yeah, yeah, yeah)
Ooh, the hoes go for me
Have your chick send a pic, like, ""Pose for me"" (Woah, girl)
(Ooh) That's how it 'posed to be (Ah, ah, yeah)
Yeah, yeah, that's how it 'posed to be (Woah, girl, ah, ah, ah, ah, ah)
(Ooh) Yeah, that's how it 'posed to be (Ah, ah, ayy)
Everything good like it's 'posed to be (Ah, ah, ah, ah, ah)
[Bridge: Chris Brown & Omarion, Chris Brown, Omarion]
She 'bout to ride out with me
And I don't even know her name (No name)
But I know that she yo' girl (Yo' girl, yo' girl), yeah (Yeah)
She chose up, are you mad or nah?
Bruh, don't be mad about it
These chicks be for everybody, oh yeah

[Outro: Omarion, Chris Brown, Jhené Aiko]
Omarion
C Breezy
I'll make him do it
I'll make him do it489Embed",15
2015,Thinking Out Loud,Ed Sheeran,"[Verse 1]
When your legs don't work like they used to before
And I can't sweep you off of your feet
Will your mouth still remember the taste of my love?
Will your eyes still smile from your cheeks?
And darlin', I will be lovin' you till we're seventy
And baby, my heart could still fall as hard at twenty-three

[Pre-Chorus]
And I'm thinkin' 'bout how
People fall in love in mysterious ways
Maybe just the touch of a hand
Well, me, I fall in love with you every single day
And I just wanna tell you I am

[Chorus]
So honey, now, take me into your lovin' arms
Kiss me under the light of a thousand stars
And place your head on my beatin' heart, I'm thinkin' out loud
Maybe we found love right where we are

[Verse 2]
When my hair's all but gone and my memory fades
And the crowds don't remember my name
When my hands don't play the strings the same way, mmm
I know you will still love me the same
'Cause, honey, your soul could never grow old, it's evergreen
And baby, your smile's forever in my mind and memory
See Ed Sheeran LiveGet tickets as low as $145You might also like[Pre-Chorus]
I'm thinkin' 'bout how
People fall in love in mysterious ways
And maybe it's all part of a plan
Oh, I'll just keep on makin' the same mistakes
Hoping that you'll understand

[Chorus]
That, baby, now, take me into your lovin' arms
Kiss me under the light of a thousand stars
Place your head on my beatin' heart, I'm thinkin' out loud
And maybe we found love right where we are, oh-oh

[Bridge]
Lo-lo-lo, lo-lo-lo
Lo-lo-lo, lo-lo-lo, love

[Chorus]
So baby, now, take me into your lovin' arms
And kiss me under the light of a thousand stars, oh, darlin'
Place your head on my beatin' heart, I'm thinkin' out loud
That maybe we found love right where we are
Oh, maybe we found love right where we are
And we found love right where we are876Embed",16
2015,Worth It,Fifth Harmony Featuring Kid Ink,"[Chorus: Camila & Normani, Kid Ink]
Give it to me, I'm worth it
Baby, I'm worth it
Uh-huh, I'm worth it
Gimme, gimme, I'm worth it
Give it to me, I'm worth it
Baby (Uh), I'm worth it
Uh-huh (Uh), I'm worth it
Gimme, gimme (Uh), I'm worth it

[Post-Chorus: Kid Ink]
Okay, I tell her bring it back like she left some (I got some)
Bring it, bring it back like she left some (I got some)
Uh, in the club with the lights off
What you actin' shy fo'?
Come and show me that you
With it, with it, with it, with it, with it
Stop playin', how you know that I
With it, with it, with it, with it, with it
What you actin' shy for?

[Verse 1: Dinah]
Just give me you, just give me you
Just give me you, that's all I wanna do
And if what they say is true
If it's true, I might give me to you
I may talk a lot of stuff
Guaranteed I can back it up
I think I'ma call you bluff
Hurry up, I'm waitin' out front
You might also like[Pre-Chorus: Normani]
Uh-huh, you see me in the spot
Like ""Ooh, I love your style""
Uh-huh, show me what you got
'Cause I don't wanna waste my time
Uh-huh, see me in the spot
Like ""Ooh, I love your style""
Uh-huh, show me what you got now
Come and make it worth my while

[Chorus: Camila & Normani, Kid Ink]
Give it to me, I'm worth it
Baby, I'm worth it
Uh-huh, I'm worth it
Gimme, gimme, I'm worth it
Give it to me, I'm worth it
Baby (Uh), I'm worth it
Uh-huh (Uh), I'm worth it
Gimme, gimme, I'm worth it

[Verse 2: Camila]
It's all on you, it's all on you
It's all on you, so what you wanna do?
And if you don't have a clue
Not a clue, I'll tell you what to do
Come harder just because
I don't like it, like it too soft, too soft
I like it a little rough
Not too much, but maybe just enough
[Pre-Chorus: Ally]
Uh-huh, you see me in the spot
Like ""Ooh, I love your style""
Uh-huh, show me what you got
'Cause I don't wanna waste my time
Uh-huh, see me in the spot
Like ""Ooh, I love your style""
Uh-huh, show me what you got now
Come and make it worth my while

[Chorus: Camila & Normani, Camila, Kid Ink]
Give it to me, I'm worth it
Baby, I'm worth it
Uh-huh, I'm worth it
Gimme, gimme, I'm worth it
Give it to me, I'm worth it (Know what I mean?)
Baby (Uh), I'm worth it (Give me everythin')
Uh-huh (Uh), I'm worth it
Gimme, gimme (Uh), I'm worth it

[Post-Chorus: Kid Ink]
Okay, I tell her bring it back like she left some (I got some)
Bring it, bring it back like she left some (I got some)
Uh, in the club with the lights off
What you actin' shy fo'?
Come and show me that you
With it, with it, with it, with it, with it
Stop playin', how you know that I
With it, with it, with it, with it, with it
What you actin' shy for?
[Pre-Chorus: Ally & Normani, Ally]
Uh-huh, you see me in the spot
Like ""Ooh, I love your style""
Uh-huh, show me what you got
'Cause I don't wanna waste my time
Uh-huh, see me in the spot
Like ""Ooh, I love your style""
Uh-huh, show me what you got now
Come and make it worth my while

[Chorus: Camila & Normani, Camila, Kid Ink]
Give it to me, I'm worth it
Baby, I'm worth it
Uh-huh, I'm worth it
Gimme, gimme, I'm worth it
Give it to me, I'm worth it (Know what I mean?)
Baby (Uh), I'm worth it (Give me everythin')
Uh-huh (Uh), I'm worth it
Gimme, gimme, I'm worth it

[Outro: Camila]
Give it to me, I'm worth it112Embed",17
2015,You Know You Like It,DJ Snake & AlunaGeorge,"[Intro]
I drive you insane

[Verse 1]
Some people want me to be heads or tails
I say no way, try again another day
I should be happy, not tipping the scales
I just won't play letting my life get away

[Pre-Chorus]
I'm no fool, no, I'm not a follower
I don't take things as they come
If they bring me down
Life can be cruel if you're a dreamer
I just wanna have some fun
Don't tell me what could be done

[Chorus]
You know you like it, but it drives you insane
You know you like it, but it drives you insane
You know you like it, but you're scared of the shame
What you want, what you gonna do?
You know you like it, but it drives you insane
Follow me 'cause you know that you wanna feel the same
You know you like it, but it drives you insane
(What you want, what you gonna do?)
You might also like[Drop]
I drive you insane
I drive you insane

[Verse 2]
If you wanna train me like an animal
Better keep your eye on my every move
There's no need to be so damn cruel
Baby, you got nothing to prove

[Pre-Chorus]
I'm no fool, no, I'm not a follower
I don't take things as they come
If they bring me down
Life can be cruel if you're a dreamer
I just wanna have some fun
Don't tell me what could be done

[Chorus]
You know you like it, but it drives you insane
You know you like it, but it drives you insane
You know you like it, but you're scared of the shame
What you want, what you gonna do?
You know you like it, but it drives you insane
Follow me 'cause you know that you wanna feel the same
You know you like it, but it drives you insane
(What you want, what you gonna do?)
[Drop]
I drive you insane
I drive you insane

[Bridge]
I drive you insane
I drive you insane
(Drive)

[Drop]
I drive you insane
I drive you insane
I drive you insane
I drive you insane44Embed",18
2015,Somebody,Natalie La Rose Featuring Jeremih,"[Intro: Natalie La Rose]
Come on
Natalie La Rose

[Chorus: Jeremih & Natalie La Rose]
I wanna rock with somebody (Woo, yeah)
I wanna take shots with somebody (Shot, shot, shot, shot)
I wanna leave with somebody (Somebody, come on, come on)
And we ain't gonna tell nobody, we ain't gonna tell nobody (Nobody)

[Verse 1: Natalie La Rose]
Walk in, everybody knows what's good
But some gonna hate, what's new?
We just do our thing, no time to waste
Always play it cool

[Pre-Chorus: Natalie La Rose, Jeremih]
And at the end of the night when the lights go out
Will we turn down? Oh no we won't
(We ain't never turnin' down, we ain't never turnin' down)
And when they try to make us leave
We turn and say we never going home
(And you know just what I wanna do)

[Chorus: Jeremih]
I wanna rock with somebody (Woo, yeah)
I wanna take shots with somebody (Shot, shot, shot, shot)
I wanna leave with somebody (Come on, come on)
And we ain't gotta tell nobody, we ain't gotta tell nobody (Nobody)
You might also like[Verse 2: Natalie La Rose]
Walk in, everybody know what's good
We're our only plug
Bring us everything we think we need
Tonight is goin' up
Tonight is goin' up

[Pre-Chorus: Natalie La Rose, Jeremih]
And at the end of the night when the lights go out
Will we turn down? Oh no we won't
(We ain't never turnin' down, we ain't never turnin' down)
And when they try to make us leave
We turn and say we never going home
(And you know just what I wanna do)

[Chorus: Jeremih]
I wanna rock with somebody (Woo, yeah)
I wanna take shots with somebody (Shot, shot, shot, shot)
I wanna leave with somebody (Come on, come on)
And we ain't gotta tell nobody, we ain't gotta tell nobody (Nobody)

[Bridge: Natalie La Rose]
In the club like what
We be in the party in the club like what
And the club like
We be in the city going dumb like what
In the club like what
We be in the party in the club like what
We be in the city going dumb like what
We be in the party in the club like what
[Pre-Chorus: Natalie La Rose, Jeremih]
And at the end of the night when the lights go out
Will we turn down? Oh no we won't
(We ain't never turnin' down, we ain't never turnin' down)
And when they try to make us leave
We turn and say we never going home
(And you know just what I wanna do)

[Chorus: Jeremih]
I wanna rock with somebody (Woo, yeah)
I wanna take shots with somebody (Shot, shot, shot, shot)
I wanna leave with somebody (Come on, come on)
And we ain't gotta tell nobody, we ain't gotta tell nobody (Nobody)251Embed",19
2015,Where Are U Now,Skrillex & Diplo With Justin Bieber,None,20
2015,G.D.F.R.,Flo Rida Featuring Sage The Gemini & Lookas,"[Pre-Chorus: Sage the Gemini]
I know what you came here to see
If you're a freak, then you comin' home with me
And I know what you came here to do
Now bust it open, let me see you get loose

[Chorus: Sage the Gemini]
It's goin' down for real
It's goin' down for real
It's goin' down for real

[Verse 1: Flo Rida]
Yo' girl just kissed a girl, I do bi chicks
Shake for a sheik, I'm throwin' these Emirates in the sky
Spendin' this As-salamu alaykum, peace to M-O-N-E-Y
I love my beaches, south beaches, surfboard in high tide
I could just roll up 'cause I'm swole up
So that birthday cake get the cobra
Bugatti for real, I'm cold, bruh
That auto-biography rover
Got the key to my city, it's over
It's no thots, only Anna Kournikova's
I set records, ratchets hol' up (I set records, ratchets hol' up)

[Pre-Chorus: Sage the Gemini]
I know what you came here to see
If you're a freak, then you comin' home with me
And I know what you came here to do
Now bust it open, let me see you get loose
You might also like[Chorus: Sage the Gemini]
It's goin' down for real
It's goin' down for real (And they already know me)
It's goin' down for real
[Verse 2: Sage the Gemini]
It's going down further than femurs
Girls get wetter than Katrina
Yeah, my girl, you've never seen her
'Cause my tints by limousines
My touch say it's the Midas
We the plus, your man a minus
My team blowin' on that slam
Make you cough-cough, that's Bronchitis
Put your hands up, oh
It's a stick up, no more makeup
Get that ass on the floor
Ladies, put your lipstick up
Double entendre, double entendre
While you're hatin', I get money
Then I double up tonkers

[Pre-Chorus: Sage the Gemini]
I know what you came here to see
If you're a freak, then you comin' home with me
And I know what you came here to do
Now bust it open, let me see you get loose
[Chorus: Sage the Gemini]
It's goin' down for real
It's goin' down for real
It's goin' down for real
It's goin' down for real
It's goin' down for real

[Bridge: Flo Rida]
Lift it, drop it, shake it, pop it
Lift it, drop it, shake it, pop it
Lift it, drop it, shake it, pop it
Lift it, drop it, shake it

[Chorus: Sage the Gemini]
It's goin' down for real
It's goin' down for real
It's goin' down for real
It's goin' down for real
It's goin' down for real100Embed",21
